uid,accession,gse,title,taxon,type,n_samples,platform,brain_related,query_hits,summary
200072334,,,"Transcriptional Response of Male MutaTMMouse Spleen to Dibenzo[def,p]chrysene Exposure",Mus musculus,Expression profiling by array,37,,,mouse_bap_all;mouse_bap_expr;mouse_bap_brain,"Dibenzo[def,p]chrysene (DBC) is the most carcinogenic polycyclic aromatic hydrocarbon (PAH) examined to date. We investigated the immunotoxicity of DBC, manifested as spleen atrophy following acute exposure of adult Muta™Mouse males by oral gavage. Mice were exposed to 0, 2.0, 6.2, or 20.0 mg DBC /kg-bw per day, for three days. Genotoxic endpoints (DBC-DNA adducts and lacZ mutant frequency in spleen and bone marrow, and red blood cell micronucleus frequency) and global gene expression changes were measured. All of the genotoxicity measures increased in a dose-dependent manner in both tissues. Gene expression analysis showed that DBC activates p53 signalling pathways related to cellular growth and proliferation, which was evident even at the low dose. Strikingly, the expression profiles of DBC exposed mouse spleens were highly inversely correlated with the expression profiles of the only published toxicogenomics dataset of enlarged mouse spleen. This analysis suggested a central role for Bnip3l, a pro-apoptotic protein involved in negative regulation of erythroid maturation. RT-PCR confirmed expression changes in several genes related to apoptosis, iron metabolism, and aryl hydrocarbon receptor signalling that are regulated in the opposite direction during spleen atrophy versus benzo[a]pyrene-mediated splenomegaly. In addition, benchmark dose modeling of toxicogenomics data yielded toxicity estimates that are very close to traditional toxicity endpoints. This work illustrates the power of toxicogenomics to reveal rich mechanistic information of immunotoxic compounds and its ability to provide information that is quantitatively similar to that derived from standard toxicity methods in health risk assessment."
200051321,,,"Sub-chronic transcriptional response in adult male MutaTMMouse following oral exposure to 7 individual PAHs in the lung, liver, and forestomach tissues",Mus musculus,Expression profiling by array,371,,,mouse_bap_all;mouse_bap_expr;mouse_bap_brain,This SuperSeries is composed of the SubSeries listed below.
200043633,,,Acute hepatic transcriptional response in male mice following oral exposure to benzo(a)pyrene,Mus musculus,Expression profiling by array,46,,,mouse_bap_all;mouse_bap_expr,"Benzo(a)pyrene is a well-established human carcinogen in humans and rodents. In the present study, we sought to determine the dose- and time-dependent changes in gene expression upon oral exposure to benzo(a)pyrene. Adult male B6C3F1 mice were exposed to four doses of benzo(a)pyrene or vehicle control for three days and sacrificed 4 or 24 hours after the final exposure."
200057132,,,Evaluating mRNA and microRNA profiles reveals discriminative and compound-specific responses following genotoxic or non-genotoxic carcinogen exposure in primary mouse hepatocytes,Mus musculus; Homo sapiens; Rattus norvegicus,Expression profiling by array; Non-coding RNA profiling by array,120,,,mouse_bap_all;mouse_bap_expr,This SuperSeries is composed of the SubSeries listed below.
200057129,,,Evaluating microRNA profiles reveals discriminative responses following genotoxic or non-genotoxic carcinogen exposure in primary mouse hepatocytes [Affymetrix],Mus musculus,Expression profiling by array,60,,,mouse_bap_all;mouse_bap_expr,"The study investigated differential gene expression in primary mouse hepatocyte mRNA following 24 and 48 hours of exposure to aflatoxin B1, cisplatin, benzo(a)pyrene, 2,3,7,8-tetrachloordibenzo-p-dioxine, cyclosporin A or Wy-14,643 or their responsive solvent. Three (four for Wy-14,643) biological replicates per compound/solvent."
200057082,,,Evaluating microRNA profiles reveals discriminative responses following genotoxic or non-genotoxic carcinogen exposure in primary mouse hepatocytes [Exiqon],Mus musculus; Homo sapiens; Rattus norvegicus,Non-coding RNA profiling by array,60,,,mouse_bap_all,"The study investigated differential miRNA changes in primary mouse hepatocyte following 24 and 48 hours of exposure to aflatoxin B1, cisplatin, benzo(a)pyrene, 2,3,7,8-tetrachloordibenzo-p-dioxine, cyclosporin A or Wy-14,643 or their responsive solvent. Three (four for Wy-14,643) biological replicates per compound/solvent."
200043977,,,MicroRNA and mRNA biomarkers for short-term in vivo genotoxic and non-genotoxic carcinogen classification,Mus musculus,Expression profiling by array,97,,,mouse_bap_all;mouse_bap_expr,"Many innovative techniques and scientific improvements are available to tackle societal concerns, like public health safety and confining the risk of cancerous exposure to chemicals, but have not been thoroughly tested and implicated yet. We investigated if microRNA and mRNA transcription profiles can be implemented in a short-term carcinogen classifier assay. Our study is additionally focusing on the drawbacks of present-day carcinogen screening strategies and also aims to contribute to a more ethical approach towards animal use and welfare within risk assessment. Since current in vitro and in silico assays are still not able to mimic the in vivo situation accurately we set out to develop an alternative short-term in vivo assay. Five genotoxic, seven non-genotoxic and five non-carcinogen exposure studies were used to investigate if murine hepatic microRNA and mNA profiles after 7-day exposure are suitable tools to classify carcinogens. Classification analyses showed that a small transcript set, consisting of both microRNA and mRNA, is able to classify the genotoxic, non-genotoxic and non-carcinogens tested with 100% accuracy. The results indicate that microRNAs have the potential to be used as transcriptional classifiers and that a short-term transcriptional classifier assay in mice can be a powerful tool in carcinogenicity risk assessment. Since current in vitro and in silico assays are still not able to mimic the in vivo situation accurately we set out to develop an alternative short-term in vivo assay. Five genotoxic, seven non-genotoxic and five non-carcinogen exposure studies were used to investigate if murine hepatic microRNA and mNA profiles after 7-day exposure are suitable tools to classify carcinogens. Classification analyses showed that a small transcript set, consisting of both microRNA and mRNA, is able to classify the genotoxic, non-genotoxic and non-carcinogens tested with 100% accuracy. The results indicate that microRNAs have the potential to be used as transcriptional classifiers and that a short-term transcriptional classifier assay in mice can be a powerful tool in carcinogenicity risk assessment."
200043847,,,MicroRNA and mRNA biomarkers for short-term in vivo genotoxic and non-genotoxic carcinogen classification,Homo sapiens; Mus musculus; Rattus norvegicus,Non-coding RNA profiling by array,68,,,mouse_bap_all,"Many innovative techniques and scientific improvements are available to tackle societal concerns, like public health safety and confining the risk of cancerous exposure to chemicals, but have not been thoroughly tested and implicated yet. We investigated if microRNA and mRNA transcription profiles can be implemented in a short-term carcinogen classifier assay. Our study is additionally focusing on the drawbacks of present-day carcinogen screening strategies and also aims to contribute to a more ethical approach towards animal use and welfare within risk assessment. Since current in vitro and in silico assays are still not able to mimic the in vivo situation accurately we set out to develop an alternative short-term in vivo assay. Five genotoxic, seven non-genotoxic and five non-carcinogen exposure studies were used to investigate if murine hepatic microRNA and mRNA profiles after 7-day exposure are suitable tools to classify carcinogens. Classification analyses showed that a small transcript set, consisting of both microRNA and mRNA, is able to classify the genotoxic, non-genotoxic and non-carcinogens tested with 100% accuracy. The results indicate that microRNAs have the potential to be used as transcriptional classifiers and that a short-term transcriptional classifier assay in mice can be a powerful tool in carcinogenicity risk assessment."
200043438,,,Sub-chronic forestomach transcriptional response in adult male MutaTMMouse following oral exposure to benzo(a)pyrene,Mus musculus,Expression profiling by array,17,,,mouse_bap_all;mouse_bap_expr;mouse_bap_brain,"Benzo(a)pyrene is a well-established human carcinogen in humans and rodents. In the present study, we sought to determine the dose- and time-dependent changes in gene expression upon oral exposure to benzo(a)pyrene. Adult male MutaTMMouse were exposed to three doses of benzo(a)pyrene or vehicle control (olive oil) for 28 days and sacrificed three days after the final exposure."
200049571,,,Long-term exposure to low-concentrations of Cr(VI) induce DNA damage and disrupt the transcriptional response to benzo[a]pyrene,Mus musculus,Expression profiling by high throughput sequencing,20,,,mouse_bap_all;mouse_bap_expr,"Living organisms are exposed on a daily basis to widespread mixtures of toxic compounds. Mixtures pose a major problem in the assessment of health effects because they often generate substance-specific effects that cannot be attributed to a single mechanism. Two compounds often found together in the environment are the heavy metal chromium and the polycyclic aromatic hydrocarbon benzo[a]pyrene (B[a]P). We have examined how long-term exposure to a low concentration of Cr(VI) affects the transcriptional response to B[a]P, a second toxicant with an unrelated mechanism of action. Growth of mouse hepatoma cells for 20 passages in medium with 0.1 or 0.5 uM Cr(VI) increases DNA damage and apoptosis and decreases clonogenic ability. These cells also show transcriptome changes indicative of increased expression of DNA damage response and repair genes. In them, B[a]P activates cancer progression pathways, unlike cells never exposed to Cr(VI), where B[a]P activates mostly xenobiotic metabolism pathways. Cells grown in Cr(VI) for 20 passages and then cultured for an additional 5 passages in the absence of Cr(VI) recover from some but not all the chromium effects. They show B[a]P-dependent transcriptome changes strongly weighted towards xenobiotic metabolism, similar to those in B[a]P-treated cells that had no previous Cr(VI) exposure, but retain a high level of Cr(VI)-induced DNA damage and silence the expression of DNA damage and cancer progression genes. We conclude that the combined effect of these two toxicants appears to be neither synergistic nor cumulative, generating a toxic/adaptive condition that cannot be predicted from the effect of each toxicant alone."
200041422,,,Alterations of DNA methylome during chemical carcinogenesis,Mus musculus,Methylation profiling by genome tiling array,11,,,mouse_bap_all,"Similar to other genotoxic polycyclic aromatic hydrocarbons (PAHs), benzo[a]pyrene (BaP) is known to produce stable DNA adducts and other DNA damage. BaP is a powerful carcinogen and can induce tumors in the accessory sex organs (including prostate) of rodents. In the present study, we have investigated the potential role of BaP as an epimutagen in vivo during chemical carcinogenesis. We have analyzed the DNA methylation profile, genome-wide, of seminal vesicles of Big Blue® mice exposed to chronic doses of BaP over a period of 6 weeks, both immediately after the termination of exposure and several weeks after-treatment in mice that have developed tumors on the accessory sex organs. Mice treated with chronic doses of DMSO (sham) were used as control."
200035718,,,Pulmonary gene expression in MutaTMMouse orally gavaged with three doses of benzo(a)pyrene and vehicle control,Mus musculus,Expression profiling by array,19,,,mouse_bap_all;mouse_bap_expr,"In this study, we investigate mRNA profiles in lung of mice exposed to benzo(a)pyrene. Male mice were exposed to three doses (25, 50, and 75 mg/kg/day BaP) for 28 days and profiles were examined three days post-exposure. Our analyses reveal that BaP causes pulmonary specific cellular transformation indicative of carcinogenesis."
200040633,,,Oral Benzo[a]pyrene in Cyp1a1/1b1(-/-) Double-Knockout Mice: Microarray Analysis During Squamous Cell Carcinoma Formation in Preputial Gland Duct,Mus musculus,Expression profiling by array,30,,,mouse_bap_all;mouse_bap_expr,"Benzo[a]pyrene (BaP) is a prototypical polycyclic aromatic hydrocarbon (PAH) found in combustion processes. Cytochrome P450 1A1 and 1B1 enzymes (CYP1A1, CYP1B1) and other enzymes can activate PAHs to reactive oxygenated intermediates involved in mutagenesis and tumor initiation; also, CYP1 enzymes can detoxify PAHs. Cyp1(+/+) wild-type (WT) and Cyp1b1(-/-) knockout mice receiving oral BaP (12.5 mg/kg/day) remain healthy for >12 months. In contrast, we found that global knockout of the Cyp1a1 gene (1a1KO) results in proximal small intestine (PSI) adenocarcinoma within 8 to 12 weeks on this BaP regimen; striking compensatory increases in PSI CYP1B1 likely participate in initiation of adenocarcinoma in 1a1KO mice. Cyp1a1/1b1(-/-) double-knockout (DKO) mice on this BaP regimen show no PSI adenocarcinoma, but instead preputial gland duct (PGD) squamous cell carcinoma (SCC) occurs by 12 weeks. Herein we compare microarray expression of PGD genes in WT, 1a1KO and DKO mice at zero, 4, 8, 12, and 16 weeks of oral BaP; about four dozen genes up- or down-regulated during the most critical time-points were further verified by qRT-PCR. In DKO mice, CYP3A59 was unequivocally identified as the BaP-inducible and BaP-metabolizing best candidate responsible for initiation of BaP-induced SCC. Striking increases or decreases were found in 26 cancer-related genes plus eight Serpin genes in DKO, but not in 1a1KO or WT, mice on this BaP regimen; of the 26, eight were RAS-related oncogenes. The mechanism by which cancer-related genes are responsible for SCC tumor progression in the PGD remains to be elucidated."
200031252,,,Benzo[a]pyrene-induced changes in microRNA-mRNA networks,Human alphaherpesvirus 1; Human betaherpesvirus 5; human gammaherpesvirus 4; Mus musculus cytomegalovirus 2; Betapolyomavirus macacae; Rattus norvegicus; Human alphaherpesvirus 2; Murid gammaherpesvirus 4; Betapolyomavirus hominis; Homo sapiens; Merkel cell polyomavirus; Mus musculus; JC polyomavirus; Human immunodeficiency virus 1; Human gammaherpesvirus 8,Non-coding RNA profiling by array,24,,,mouse_bap_all,"The microarray contains 9360 reporters, each present four times on the microarray. In our analysis 1326 human and viral reporters were used, of which 880 are unique human mature microRNAs. The other 8024 reporters represent microRNAs from other species. cDNA was generated using 1 μg of total RNA per sample. RNA was labeled only with Hy3 containing dye using the microRNACURY LNA™ microRNA Hy3 Power labeling kit (Exiqon, Denmark) according to the manufacturer’s protocol in a total volume of 25 μl. To adjust the volume to 100 μl, a hybridization buffer provided in miRCURY LNA™ microRNA Array, 5th generation kit (Exiqon, Denmark) was used."
200039455,,,"Polycyclic aromatic hydrocarbons as skin carcinogens: Comparison of benzo[a]pyrene, dibenzo[def,p]chrysene and three environmental mixtures in the FVB/N mouse",Mus musculus,Expression profiling by array,25,,,mouse_bap_all;mouse_bap_expr,"The polycyclic aromatic hydrocarbon (PAH), benzo[a]pyrene (BaP), was compared to dibenzo[def,p]chrysene (DBC) and combinations of three environmental PAH mixtures (coal tar, diesel particulate and cigarette smoke condensate) using a two stage, FVB/N mouse skin tumor model. DBC (4 nmol) was most potent, reaching 100% tumor incidence with a shorter latency to tumor formation, less than 20 weeks of 12-O-tetradecanoylphorbol-13-acetate (TPA) promotion compared to all other treatments. Multiplicity was 4 times greater than BaP (400 nmol). Both PAHs produced primarily papillomas followed by squamous cell carcinoma and carcinoma in situ. Diesel particulate extract (1 mg SRM 1650b; mix 1 ) did not differ from toluene controls and failed to elicit a carcinogenic response. Addition of coal tar extract (1 mg SRM 1597a; mix 2) produced a response similar to BaP. Further addition of 2 mg of cigarette smoke condensate (mix 3) did not alter the response of mix 2. PAH-DNA adducts measured in epidermis 12 h post initiation and analyzed by 32P post- labeling, did not correlate with tumor incidence. PAH dependent alteration in transcriptome of skin 12 h post initiation was assessed by microarray. Principal component analysis (sum of all treatments) of the 922 significantly altered genes (p<0.05), showed DBC and BaP to cluster distinct from PAH mixtures and each other. BaP and mixtures up-regulated phase 1 and 2 metabolizing enzymes while DBC did not. The carcinogenicity with DBC and two of the mixtures was much greater than would be predicted based on published Relative Potency Factors (RPFs)."
200029188,,,Transcriptional signatures of regulatory and toxic responses to benzo-[a]-pyrene exposure,Mus musculus,Expression profiling by array,36,,,mouse_bap_all;mouse_bap_expr,"Small molecule ligands often have multiple effects on the transcriptional program of a cell: they trigger a receptor specific response and additional, indirect responses (""side effects""). Distinguishing those responses is important for understanding secondary effects of drugs and for elucidating molecular mechanisms of toxic chemicals. We addressed this problem by exposing cells to the environmental contaminant benzo-a-pyrene (B[a]P). B[a]P exposure activates the aryl hydrocarbon receptor (Ahr) and causes toxic stress resulting in transcriptional changes that are not regulated through Ahr. We sought to distinguish these two types of responses based on a time course of expression changes measured after B[a]P exposure. Using Random Forest machine learning we classified 81 direct Ahr targets and 1,308 genes regulated as secondary exposure effects. Subsequent weighted clustering gave further insight into the connection between expression pattern, mode of regulation, and biological function. Finally, the accuracy of the predictions was supported through extensive experimental validation. This study presents a strategy for distinguishing receptor dependent and secondary responses based on expression time courses."
200024910,,,Lack of hepatic response of microRNA in mice following chronic benzo(a)pyrene exposure,Mus musculus,Expression profiling by array; Non-coding RNA profiling by array,38,,,mouse_bap_all;mouse_bap_expr;mouse_bap_brain,This SuperSeries is composed of the SubSeries listed below.
200024909,,,Lack of hepatic response of microRNA in mice following chronic benzo(a)pyrene exposure (miRNA),Mus musculus,Non-coding RNA profiling by array,18,,,mouse_bap_all;mouse_bap_brain,"Benzo[a]pyrene (BaP) is a very extensively studied prototypical polycyclic aromatic hydrocarbons (PAHs). Previous work in our laboratory showed no changes of microRNA (miRNA) expression in liver following a 3 days exposure to BaP, suggesting a lack of miRNA transcriptional responses to aryl hydrocarbon receptor agonists and/or DNA damage. Here, we studied 25-week old male MutaTM Mouse exposed to 25, 50, and 75 mg/kg/day BaP by oral gavage for 28 consecutive days. MAANOVA identified 110 differentially expressed genes (adjusted p < 0.05) with fold change greater than 1.5. The genes most affected included those involved in xenobiotic metabolism, phase II metabolizing enzymes, as well as the downstream targets of p53. Pathway specific RT-PCR was used to confirm the p53 response. A single significant increase in miRNA expression was identified (mir-34a and validated using the Qiagen miScript PCR system). This miRNA is known to be transcriptionally activated by p53. Ingestion of BaP leads to widespread changes in gene expression in mouse liver, with enrichment of genes involved in cell cycle arrest, DNA damage response, and apoptosis via the p53 pathway. In contrast, miRNA expression was relatively unaffected. Only miR-34a was significantly up-regulated, and may therefore play a critical role in the post-transcriptional regulation of p53 and/or its downstream targets. Keywords: Agilent mouse 8 x 15K miRNA microarray system with miRNA complete labeling and hyb kit were used to assess miRNA expression in response to 25, 50, and 75 mg/kg BaP treatment"
200024907,,,Lack of hepatic response of microRNA in mice following chronic benzo(a)pyrene exposure (gene expression),Mus musculus,Expression profiling by array,20,,,mouse_bap_all;mouse_bap_expr,"Benzo[a]pyrene (BaP) is a very extensively studied prototypical polycyclic aromatic hydrocarbons (PAHs). Previous work in our laboratory showed no changes of microRNA (miRNA) expression in liver following a 3 days exposure to BaP, suggesting a lack of miRNA transcriptional responses to aryl hydrocarbon receptor agonists and/or DNA damage. Here, we studied 25-week old male MutaTM Mouse exposed to 25, 50, and 75 mg/kg/day BaP by oral gavage for 28 consecutive days. MAANOVA identified 110 differentially expressed genes (adjusted p < 0.05) with fold change greater than 1.5. The genes most affected included those involved in xenobiotic metabolism, phase II metabolizing enzymes, as well as the downstream targets of p53. Pathway specific RT-PCR was used to confirm the p53 response. A single significant increase in miRNA expression was identified (mir-34a and validated using the Qiagen miScript PCR system). This miRNA is known to be transcriptionally activated by p53. Ingestion of BaP leads to widespread changes in gene expression in mouse liver, with enrichment of genes involved in cell cycle arrest, DNA damage response, and apoptosis via the p53 pathway. In contrast, miRNA expression was relatively unaffected. Only miR-34a was significantly up-regulated, and may therefore play a critical role in the post-transcriptional regulation of p53 and/or its downstream targets. Keywords: Agilent mouse 4 x 44 oligonucleotide microarrays were used to assess global gene expression in response to 25, 50, and 75 mg/kg BaP treatment"
200024751,,,Pulmonary gene and microRNA expression changes in mice exposed to benzo(a)pyrene by oral gavage,Mus musculus,Expression profiling by array; Non-coding RNA profiling by array,45,,,mouse_bap_all;mouse_bap_expr,"Polycyclic aromatic hydrocarbons (PAHs) are widely distributed, carcinogenic environmental contaminants produced as a consequence of the incomplete combustion of fossil fuels. Benzo[a]pyrene (BaP) is a very extensively studied prototypical PAH. We recently reported a complete lack of change in microRNA (miRNA) expression in adult mouse liver following oral gavage with BaP despite a robust transcriptome response. We hypothesized that hepatic miRNAs may not be highly responsive to the treatment. Here, we analyse the pulmonary mRNA and miRNA response to BaP in the same mice. Adult male B6C3F1 mice were exposed to 5, 50, 150 and 300 mg/kg BaP by oral gavage for three consecutive days and sacrificed 4 or 24 hours after the last exposure. Serum clinical chemistry and DNA adduct levels in whole lung and liver tissues were analysed at both the time points for all the doses. Acute exposure to BaP resulted in modest decreases in serum inorganic phosphorous, calcium, glucose, alkaline phosphatase and lactate dehydrogenase in animals treated with 300 mg/kg BaP. 32P postlabeling of DNA revealed similar increases in BaP-DNA adducts in both lungs and livers of exposed mice in a dose dependent manner at the 4 hour time point. Using DNA microarrays, pulmonary mRNA and miRNA expression was analysed 4 hours after the final exposure. Over 1,000 genes were statistically differentially expressed (fold change > 1.5 and p < 0.05), encompassing numerous pathways including: oxidative stress, xenobiotic metabolism, cell proliferation, cell cycle, B and T-cell receptor signalling and primary immunodeficiency signalling pathways. Analysis of miRNA profiles revealed downregulation of miR-150, miR-142-5p, 142-3p and upregulation of miR-34c and miR-29b. These miRNAs are involved in various biological processes including immune response, cell proliferation and cell cycle, which are also the main pathways affected at the gene expression level. As BaP exposure does not result in hepatocarcinogenicity, but does cause lung cancer, these miRNAs may play an important role in the outcome of the exposure and be more predictive of carcinogenesis. Keywords: mRNA, miRNA, Pulmonary, non-target tissue, Toxicogenomics, Benzoapyrene"
200029263,,,Expression data from mouse neonatal ovarian DMBA and BaP culture experiments,Mus musculus,Expression profiling by array,9,,,mouse_bap_all;mouse_bap_expr,"Mammalian females are born with a finite number of non-renewing primordial follicles, the majority of which remain in a quiescent state for many years. Due to their non-renewing nature, these “resting” oocytes are particularly vulnerable to xenobiotic insult, resulting in premature ovarian senescence and the formation of dysfunctional oocytes. In this study we characterised the mechanisms of ovotoxicity for the ovotoxic agent 7,12-dimethylbenz-[a]anthracene (DMBA), which targets immature follicles. Neonatal mouse ovaries (PND3-4) were cultured in the presence of DMBA (50nM) or BaP (1uM) for 96 hours to observe their effects on the ovarian transcriptome. This was done in the hopes of gaining a better understanding of the mechanisms underpinning xenobiotic induced pre-antral ovotoxicity."
200019438,,,Reference: MicroRNA expression profiling in adult mouse liver following BaP treatment [Agilent miRNA array],Mus musculus,Non-coding RNA profiling by array,7,,,mouse_bap_all,"We have investigated the effect of exposure to 150 mg/kg benzo(a)pyrene (BaP) for 3 days on mRNA and miRNA expression levels in adult mouse liver. We used Agilent miRNA array platforms to assess effects of BaP exposure on miRNA expression levels. Our results indicate a distinct lack of effect of BaP of miRNA expression, despite widespread changes in mRNA levels. The data in the attached array files were used a positive control for the Agilent platform, to indicate that the platform was able to detect significant differences in abundance of miRNA between two samples with great differences in miRNA content. Keywords: Toxicology, miRNA"
200018841,,,Adult mouse liver following benzo(a)pyrene (BaP) treatment: miRNA and mRNa profiling,Homo sapiens; Human alphaherpesvirus 1; Human betaherpesvirus 5; human gammaherpesvirus 4; Betapolyomavirus hominis; Betapolyomavirus macacae; Murid gammaherpesvirus 4; Mus musculus; Rattus norvegicus; Murid betaherpesvirus 1; JC polyomavirus; Human immunodeficiency virus 1; Human gammaherpesvirus 8,Expression profiling by array; Non-coding RNA profiling by array,80,,,mouse_bap_all;mouse_bap_expr,This SuperSeries is composed of the SubSeries listed below.
200018789,,,mRNA expression profiling in adult mouse liver following benzo(a)pyrene (BaP) treatment [Agilent gene expression array],Mus musculus,Expression profiling by array,19,,,mouse_bap_all;mouse_bap_expr,"Adult male mice were exposed to 150 mg/kg benzo(a)pyrene (BaP) or solvent for 3 days and sampled 4 or 24 hours after the last dose. mRNA expression levels in adult mouse liver were measured using Agilent arrays. We found widespread changes in mRNA in pathways consistent with known response (xenobiotic metabolism, glutathione). We also found that BaP caused changes in the circadian rhythm pathway. We measured miRNA changes in the same samples and found no evidence for any change in transcription of miRNA as a result of the exposure. Keywords: Toxicology, time course"
200018786,,,MicroRNA expression profiling in adult mouse liver following benzo(a)pyrene (BaP) treatment [Agilent miRNA array],Mus musculus,Non-coding RNA profiling by array,42,,,mouse_bap_all,"Lack of change in microRNA expression in adult mouse liver following treatment with benzo(a)pyrene (BaP), as detected using Agilent miRNA arrays. We have investigated the effect of exposure to 150 mg/kg benzo(a)pyrene (BaP) for 3 days on mRNA and miRNA expression levels in adult mouse liver. We used Agilent miRNA array platforms to assess effects of BaP exposure on miRNA expression levels. Our results indicate a distinct lack of effect of BaP of miRNA expression, despite widespread changes in mRNA levels. Keywords: Toxicology, miRNA"
200018782,,,MicroRNA expression profiling in adult mouse liver following benzo(a)pyrene (BaP) treatment [Exiqon miRNA array],Homo sapiens; Human alphaherpesvirus 1; Human betaherpesvirus 5; Betapolyomavirus hominis; Murid gammaherpesvirus 4; human gammaherpesvirus 4; Betapolyomavirus macacae; Mus musculus; Rattus norvegicus; Murid betaherpesvirus 1; JC polyomavirus; Human immunodeficiency virus 1; Human gammaherpesvirus 8,Non-coding RNA profiling by array,12,,,mouse_bap_all,"Lack of change in microRNA expression in adult mouse liver following treatment with benzo(a)pyrene (BaP), as detected using Exiqon miRNA arrays. Adult male mice were exposed to 150 mg/kg benzo(a)pyrene (BaP) or solvent for 3 days and sampled 4 hours after the last dose. MicroRNA expression levels in adult mouse liver were measured using Exiqon miRNA arrays. Our results indicate a distinct lack of effect of BaP of miRNA expression, despite widespread changes in mRNA levels (measured using Agilent arrays). Lack of miRNA changes was confirmed with Agilent miRNA arrays. Keywords: Toxicology, miRNA"
200022180,,,In vitro carcinogenicity testing with Balb/c 3T3 Cells treated with various chemical carcinogens,Mus musculus,Expression profiling by array,60,,,mouse_bap_all;mouse_bap_expr,"Background: Information on the carcinogenic potential of chemicals is only availably for High Production Volume products. There is however, a pressing need for alternative methods allowing for the chronic toxicity of substances, including carcinogenicity, to be detected earlier and more reliably. Here we applied advanced genomics to a cellular transformation assay to identify gene signatures useful for the prediction of risk for carcinogenicity. Methods: Genome wide gene expression analysis and qRT-PCR were applied to untransformed and transformed Balb/c 3T3 cells that exposed to 2, 4-diaminotoluene (DAT), benzo(a)pyrene (BaP), 2-Acetylaminoflourene (AAF) and 3-methycholanthrene (MCA) for 24h and 120h, at different concentrations, respectively. Furthermore, various bioinformatics tools were used to identify gene signatures predicting for the carcinogenic risk. Results: Bioinformatics analysis revealed distinct datasets for the individual chemicals tested while the number of significantly regulated genes increased with ascending treatment concentration of the cell cultures. Filtering of the data revealed a common gene signature that comprised of 13 genes whose regulation in cancer tissue has already been established. Strikingly, this gene signature was already identified prior to cell transformation therefore confirming the predictive power of this gene signature in identifying carcinogenic risks of chemicals. Comparison of fold changes determined by microarray analysis and qRT-PCR were in good agreement. Conclusion: Our data describes selective and commonly regulated carcinogenic pathways observed in an easy to use in vitro carcinogenicity assay. Here we defined a set of genes which can serve as a simply assay to predict the risk for carcinogenicity by use of an alternative in vitro testing strategy."
200017979,,,Benzo(a)pyrene induces similar gene expression changes in testis of DNA repair proficient and deficient male mice,Mus musculus,Expression profiling by array,20,,,mouse_bap_all;mouse_bap_expr,"DNA damage induced by benzo(a)pyrene may lead to the formation of mutations and as a consequence to the development of diseases. However, it is uncertain whether benzo(a)pyrene causes heritable mutations in male germ cells, which would increase health risks in offspring. In a previous study, benzo(a)pyrene induced DNA damage was observed at all stages of spermatogenesis and in testis. In addition, we observed that spermatogonial stem cells and testis rely, at least in part, on nucleotide excision repair for the removal of this damage, because removal was less efficient in Xpc-/- than in wild type mice. Efficient removal will protect the germ cells against the formation of heritable mutations. By using microarray technology, we investigated in this study the consequences of this difference in DNA adduct removal at the level of gene expression in testis 4 days after a single exposure to benzo(a)pyrene."
200011850,,,Genome-wide ChIP-chip analysis of the binding targets of the naïve and activated aryl hydrocarbon receptor,Mus musculus,Genome binding/occupancy profiling by genome tiling array,16,,,mouse_bap_all,"Knowledge of the range of genes directly regulated by the Ah receptor would facilitate integration of the complex physiologic mechanisms that regulate the response to its toxic ligands at a systems biology level. In this report, we have combined multiple technologies and knowledge-bases to conduct an integrative genome-wide analysis of Ah receptor gene targets, and interpret the results to elucidate the underlying physiological functions of the AHR in mammals. Specifically, we used chromatin immunoprecipitation and hybridization to promoter tiling arrays to map constitutive, B[a]P- and TCDD-induced Ah receptor binding sites in a mouse hepatoma cell line, incorporating gene expression data and information from predicted cis-binding elements and overlapping molecular concept signatures. Keywords: ChIP-chip; treatment response; genotype"
200011796,,,ligand-activated and -unactivated AHR in wiltype and mutant hepatoma cells,Mus musculus,Expression profiling by array,18,,,mouse_bap_all;mouse_bap_expr,"Starting with our early global expression analyses of TCDD-treated human hepatoma cells {Puga, 2000 4679 /id}, the AHR transcriptional induction profile has been extensively studied, whether activated by TCDD, B[a]P or in the absence of exogenous ligands (reviewed in {Frericks, 2007 5618 /id}). In addition to using prior knowledge to integrate expression profiles into the AHR gene target network, we performed a new set of expression profile analyses of wild type Hepa-1c1c7 and c35 cell lines and compared the responses in naïve cells with responses in TCDD or B[a]P exposed cells for 8 hours. Results of our expression array studies are in close agreement with current knowledge."
