gene_symbol,tier,sources,human_ensembl,mouse_ensembl,mouse_symbol,orthology_type,perc_id,ensembl_release,orthology_class,n_mouse_orthologs,mapped,matrix_symbol,alias_note,in_matrix_CLEAN,in_matrix_FULL
CYPIIE1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYPIIIA3,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYPIIIA4,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYSLT1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYSLTR1,C,ChEMBL,ENSG00000173198,ENSMUSG00000052821,Cysltr1,ortholog_one2one,83.8068,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cysltr1,,FALSE,FALSE
DAT,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
DAT1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
DPP4,B,PharmMapper,ENSG00000197635,ENSMUSG00000035000,Dpp4,ortholog_one2one,85.1316,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Dpp4,,FALSE,FALSE
DRD1,C,ChEMBL,ENSG00000184845,ENSMUSG00000021478,Drd1,ortholog_one2one,91.0314,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Drd1,,FALSE,FALSE
DRD2,C,ChEMBL,ENSG00000149295,ENSMUSG00000032259,Drd2,ortholog_one2one,95.4955,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Drd2,,FALSE,FALSE
DRD3,C,ChEMBL,ENSG00000151577,ENSMUSG00000022705,Drd3,ortholog_one2one,75.523,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Drd3,,FALSE,FALSE
DRD4,C,ChEMBL;SwissTargetPrediction,ENSG00000069696,ENSMUSG00000025496,Drd4,ortholog_one2one,78.8114,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Drd4,,FALSE,FALSE
DUSP6,B,PharmMapper,ENSG00000139318,ENSMUSG00000019960,Dusp6,ortholog_one2one,98.1627,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Dusp6,,TRUE,TRUE
EDNRA,C,ChEMBL,ENSG00000151617,ENSMUSG00000031616,Ednra,ortholog_one2one,92.2717,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ednra,,TRUE,TRUE
EGFR,C,ChEMBL;PharmMapper;SwissTargetPrediction,ENSG00000146648,ENSMUSG00000020122,Egfr,ortholog_one2one,90.4959,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Egfr,,TRUE,TRUE
EGLN2,C,SwissTargetPrediction,ENSG00000269858,ENSMUSG00000058709,Egln2,ortholog_one2one,86.8735,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Egln2,,TRUE,TRUE
ELA2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ELANE,C,ChEMBL,ENSG00000197561,ENSMUSG00000020125,Elane,ortholog_one2one,72.4528,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Elane,,FALSE,FALSE
EP300,C,SwissTargetPrediction,ENSG00000100393,ENSMUSG00000055024,Ep300,ortholog_one2one,93.9884,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ep300,,TRUE,TRUE
EPHB4,C,PharmMapper,ENSG00000196411,ENSMUSG00000029710,Ephb4,ortholog_one2one,92.9078,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ephb4,,FALSE,FALSE
EPHX1,C,SwissTargetPrediction,ENSG00000143819,ENSMUSG00000038776,Ephx1,ortholog_one2one,83.5165,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ephx1,,TRUE,TRUE
ERBB,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ERBB1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ERBB2,C,ChEMBL,ENSG00000141736,ENSMUSG00000062312,Erbb2,ortholog_one2one,87.5796,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Erbb2,,FALSE,FALSE
ERG,C,ChEMBL,ENSG00000157554,ENSMUSG00000040732,Erg,ortholog_one2one,97.0772,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Erg,,FALSE,FALSE
ERG1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ERK1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ERK2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ERT1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ERT2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ESR,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ESR1,B,ChEMBL;PharmMapper;SwissTargetPrediction,ENSG00000091831,ENSMUSG00000019768,Esr1,ortholog_one2one,88.9816,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Esr1,,FALSE,FALSE
ESR2,C,ChEMBL;PharmMapper;SwissTargetPrediction,ENSG00000140009,ENSMUSG00000021055,Esr2,ortholog_one2one,85.6102,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Esr2,,FALSE,FALSE
ESTRB,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ETA,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ETRA,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
FBP1,C,SwissTargetPrediction,ENSG00000165140,ENSMUSG00000069805,Fbp1,ortholog_one2one,84.9112,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Fbp1,,FALSE,FALSE
FGFR1,C,PharmMapper,ENSG00000077782,ENSMUSG00000031565,Fgfr1,ortholog_one2one,98.4146,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Fgfr1,,FALSE,FALSE
FLT,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
FLT1,C,ChEMBL,ENSG00000102755,ENSMUSG00000029648,Flt1,ortholog_one2one,81.9955,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Flt1,,TRUE,TRUE
FRT,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
FYN,C,ChEMBL;SwissTargetPrediction,ENSG00000010810,ENSMUSG00000019843,Fyn,ortholog_one2one,99.4413,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Fyn,,FALSE,FALSE
GALR1,C,SwissTargetPrediction,ENSG00000166573,ENSMUSG00000024553,Galr1,ortholog_one2one,91.954,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Galr1,,FALSE,FALSE
GELB,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
GLP1R,C,ChEMBL,ENSG00000112164,ENSMUSG00000024027,Glp1r,ortholog_one2one,92.0086,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Glp1r,,FALSE,FALSE
GMNN,C,ChEMBL,ENSG00000112312,ENSMUSG00000006715,Gmnn,ortholog_one2one,78.6408,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Gmnn,,FALSE,FALSE
GRL,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
GRM5,C,SwissTargetPrediction,ENSG00000168959,ENSMUSG00000049583,Grm5,ortholog_one2one,95.9863,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Grm5,,FALSE,FALSE
GSTA1,B,PharmMapper,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
H1R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
H2R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HDAC6,C,SwissTargetPrediction,ENSG00000094631,ENSMUSG00000031161,Hdac6,ortholog_one2one,78.0679,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Hdac6,,TRUE,TRUE
HER1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HER2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HERG,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HH1R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HH2R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HLE,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HMGCR,C,ChEMBL;PharmMapper,ENSG00000113161,ENSMUSG00000021670,Hmgcr,ortholog_one2one,93.5738,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Hmgcr,,FALSE,FALSE
HMTMF81,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HPN,C,SwissTargetPrediction,ENSG00000105707,ENSMUSG00000001249,Hpn,ortholog_one2one,87.9808,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Hpn,,FALSE,FALSE
HPRT1,A,SwissTargetPrediction,ENSG00000165704,ENSMUSG00000025630,Hprt1,ortholog_one2one,96.789,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Hprt,Ensembl display name Hprt1 for ENSMUSG00000025630; GEO matrix symbol Hprt (verified in corrected_expr.csv),TRUE,TRUE
HRH1,C,ChEMBL,ENSG00000196639,ENSMUSG00000053004,Hrh1,ortholog_one2one,78.0738,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Hrh1,,FALSE,FALSE
HRH2,C,ChEMBL,ENSG00000113749,ENSMUSG00000034987,Hrh2,ortholog_one2one,80.3526,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Hrh2,,FALSE,FALSE
HSD11B1,C,PharmMapper,ENSG00000117594,ENSMUSG00000016194,Hsd11b1,ortholog_one2one,77.7397,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Hsd11b1,,TRUE,TRUE
HSD17B1,C,PharmMapper,ENSG00000108786,ENSMUSG00000019301,Hsd17b1,ortholog_one2one,63.0814,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Hsd17b1,,FALSE,FALSE
HTR1C,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HTR2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
HTR2A,C,ChEMBL,ENSG00000102468,ENSMUSG00000034997,Htr2a,ortholog_one2one,91.5074,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Htr2a,,FALSE,FALSE
HTR2B,C,ChEMBL;SwissTargetPrediction,ENSG00000135914,ENSMUSG00000026228,Htr2b,ortholog_one2one,83.5073,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Htr2b,,FALSE,FALSE
HTR2C,C,ChEMBL,ENSG00000147246,ENSMUSG00000041380,Htr2c,ortholog_one2one,90.4139,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Htr2c,,FALSE,FALSE
HTR6,C,ChEMBL;SwissTargetPrediction,ENSG00000158748,ENSMUSG00000028747,Htr6,ortholog_one2one,87.9545,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Htr6,,FALSE,FALSE
HTT,C,ChEMBL,ENSG00000197386,ENSMUSG00000029104,Htt,ortholog_one2one,90.8654,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Htt,,FALSE,FALSE
ICE,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
IDO1,C,SwissTargetPrediction,ENSG00000131203,ENSMUSG00000031551,Ido1,ortholog_one2one,60.9337,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ido1,,FALSE,FALSE
IL1BC,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
IL1BCE,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
IL8RA,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
IL8RB,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
JHDM3A,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
JMJD2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
JMJD2A,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
KCNA3,C,SwissTargetPrediction,ENSG00000177272,ENSMUSG00000047959,Kcna3,ortholog_one2one,96.5909,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Kcna3,,FALSE,FALSE
KCNH2,C,ChEMBL,ENSG00000055118,ENSMUSG00000038319,Kcnh2,ortholog_one2one,95.7831,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Kcnh2,,TRUE,TRUE
KCNN4,C,SwissTargetPrediction,ENSG00000104783,ENSMUSG00000054342,Kcnn4,ortholog_one2one,87.2941,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Kcnn4,,FALSE,FALSE
KDM4A,C,ChEMBL,ENSG00000066135,ENSMUSG00000033326,Kdm4a,ortholog_one2one,93.609,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Kdm4a,,FALSE,FALSE
KIAA0677,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
KPNB1,C,ChEMBL,ENSG00000108424,ENSMUSG00000001440,Kpnb1,ortholog_one2one,99.2009,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Kpnb1,,TRUE,TRUE
LCK,C,ChEMBL;PharmMapper,ENSG00000182866,ENSMUSG00000000409,Lck,ortholog_one2one,96.8566,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Lck,,FALSE,FALSE
LRRK2,C,SwissTargetPrediction,ENSG00000188906,ENSMUSG00000036273,Lrrk2,ortholog_one2one,86.6245,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Lrrk2,,TRUE,TRUE
LSK,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
LST1,C,ChEMBL,ENSG00000204482,ENSMUSG00000073412,Lst1,ortholog_one2one,54.8387,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Lst1,,TRUE,TRUE
LST2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
M31,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
MADH3,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
MAOA,A,ChEMBL;PharmMapper;SwissTargetPrediction,ENSG00000189221,ENSMUSG00000025037,Maoa,ortholog_one2one,87.4525,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Maoa,,FALSE,FALSE
MAOB,C,PharmMapper;SwissTargetPrediction,ENSG00000069535,ENSMUSG00000040147,Maob,ortholog_one2one,88.6538,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Maob,,TRUE,TRUE
MAP2K1,B,PharmMapper,ENSG00000169032,ENSMUSG00000004936,Map2k1,ortholog_one2one,98.9822,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Map2k1,,TRUE,TRUE
MAPK1,C,ChEMBL;PharmMapper,ENSG00000100030,ENSMUSG00000063358,Mapk1,ortholog_one2one,99.162,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mapk1,,TRUE,TRUE
MAPK14,B,ChEMBL;PharmMapper,ENSG00000112062,ENSMUSG00000053436,Mapk14,ortholog_one2one,98.2558,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mapk14,,TRUE,TRUE
MAPK3,C,ChEMBL,ENSG00000102882,ENSMUSG00000063065,Mapk3,ortholog_one2one,96.5789,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mapk3,,TRUE,TRUE
MAPKAPK2,B,PharmMapper,ENSG00000162889,ENSMUSG00000016528,Mapkapk2,ortholog_one2one,95.8549,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mapkapk2,,TRUE,TRUE
MBNL1,C,SwissTargetPrediction,ENSG00000152601,ENSMUSG00000027763,Mbnl1,ortholog_one2one,96.9605,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mbnl1,,TRUE,TRUE
MC3R,C,ChEMBL,ENSG00000124089,ENSMUSG00000038537,Mc3r,ortholog_one2one,88.8545,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mc3r,,FALSE,FALSE
MC4R,C,ChEMBL,ENSG00000166603,ENSMUSG00000047259,Mc4r,ortholog_one2one,93.9759,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mc4r,,FALSE,FALSE
MC5R,C,ChEMBL,ENSG00000176136,ENSMUSG00000007480,Mc5r,ortholog_one2one,80.3077,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mc5r,,FALSE,FALSE
MDR1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
MET,B,PharmMapper,ENSG00000105976,ENSMUSG00000009376,Met,ortholog_one2one,89.6302,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Met,,FALSE,FALSE
MGLL,C,SwissTargetPrediction,ENSG00000074416,ENSMUSG00000033174,Mgll,ortholog_one2one,82.8383,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mgll,,TRUE,TRUE
MIF,C,SwissTargetPrediction,ENSG00000240972,ENSMUSG00000033307,Mif,ortholog_one2one,86.087,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mif,,TRUE,TRUE
MLN19,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
MMP1,C,ChEMBL,ENSG00000196611,ENSMUSG00000041620,Mmp1b,ortholog_one2many,57.2354,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,2,TRUE,Mmp1b,,FALSE,FALSE
MMP1,C,ChEMBL,ENSG00000196611,ENSMUSG00000043089,Mmp1a,ortholog_one2many,59.2672,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,2,TRUE,Mmp1a,,FALSE,FALSE
MMP2,C,PharmMapper;SwissTargetPrediction,ENSG00000087245,ENSMUSG00000031740,Mmp2,ortholog_one2one,95.6193,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mmp2,,TRUE,TRUE
MMP8,C,SwissTargetPrediction,ENSG00000118113,ENSMUSG00000005800,Mmp8,ortholog_one2one,73.7634,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mmp8,,FALSE,FALSE
MMP9,C,ChEMBL;SwissTargetPrediction,ENSG00000100985,ENSMUSG00000017737,Mmp9,ortholog_one2one,72.0548,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Mmp9,,FALSE,FALSE
MOP,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
MOR1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
MXI2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NAAA,C,SwissTargetPrediction,ENSG00000138744,ENSMUSG00000029413,Naaa,ortholog_one2one,64.0845,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Naaa,,FALSE,FALSE
NAT1,C,ChEMBL,ENSG00000171428,ENSMUSG00000051147,Nat2,ortholog_many2many,82.069,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,3,TRUE,Nat2,,FALSE,FALSE
NAT1,C,ChEMBL,ENSG00000171428,ENSMUSG00000056426,Nat3,ortholog_many2many,68.2759,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,3,TRUE,Nat3,,FALSE,FALSE
NAT1,C,ChEMBL,ENSG00000171428,ENSMUSG00000025588,Nat1,ortholog_many2many,74.0614,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,3,TRUE,Nat1,,FALSE,FALSE
NET,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NET1,C,ChEMBL,ENSG00000173848,ENSMUSG00000021215,Net1,ortholog_one2one,84.1035,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Net1,,TRUE,TRUE
NEU,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NFE2L2,C,ChEMBL;SwissTargetPrediction,ENSG00000116044,ENSMUSG00000015839,Nfe2l2,ortholog_one2one,82.077,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Nfe2l2,,FALSE,FALSE
NGL,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NK1R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NK2R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NKNAR,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NOTUM,C,SwissTargetPrediction,ENSG00000185269,ENSMUSG00000042988,Notum,ortholog_one2one,89.4632,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Notum,,FALSE,FALSE
NPY1R,C,ChEMBL,ENSG00000164128,ENSMUSG00000036437,Npy1r,ortholog_one2one,93.7173,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Npy1r,,TRUE,TRUE
NPY2R,C,ChEMBL,ENSG00000185149,ENSMUSG00000028004,Npy2r,ortholog_one2one,94.4882,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Npy2r,,TRUE,TRUE
NPYR,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NPYY1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NQO1,C,PharmMapper;SwissTargetPrediction,ENSG00000181019,ENSMUSG00000003849,Nqo1,ortholog_one2one,86.4964,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Nqo1,,FALSE,FALSE
NQO2,C,SwissTargetPrediction,ENSG00000124588,ENSMUSG00000046949,Nqo2,ortholog_one2one,80.9524,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Nqo2,,TRUE,TRUE
NR3A1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NR3A2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NR3C1,B,ChEMBL;PharmMapper;SwissTargetPrediction,ENSG00000113580,ENSMUSG00000024431,Nr3c1,ortholog_one2one,88.5101,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Nr3c1,,FALSE,FALSE
NR3C2,B,PharmMapper,ENSG00000151623,ENSMUSG00000031618,Nr3c2,ortholog_one2one,91.2245,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Nr3c2,,FALSE,FALSE
NRF2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
NTF97,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
OATP1B1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
OATP1B3,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
OATP2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
OATP8,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
OATPC,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
OPRD,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
OPRD1,C,ChEMBL,ENSG00000116329,ENSMUSG00000050511,Oprd1,ortholog_one2one,93.5484,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Oprd1,,FALSE,FALSE
OPRK,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
OPRK1,C,ChEMBL,ENSG00000082556,ENSMUSG00000025905,Oprk1,ortholog_one2one,93.6842,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Oprk1,,FALSE,FALSE
OPRM1,C,ChEMBL,ENSG00000112038,ENSMUSG00000000766,Oprm1,ortholog_one2one,93.3333,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Oprm1,,FALSE,FALSE
OPRS1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
P2RX7,C,SwissTargetPrediction,ENSG00000089041,ENSMUSG00000029468,P2rx7,ortholog_one2one,80.8403,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,P2rx7,,FALSE,FALSE
P2RY6,C,SwissTargetPrediction,ENSG00000171631,ENSMUSG00000048779,P2ry6,ortholog_one2one,86.5854,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,P2ry6,,TRUE,TRUE
